,RIC,Title ,Comments,Views,Source,Date,Author,Total Post by Author,Like,Date Posted,Time,Comments2,Sentiment
9506,,,,,,2010-05-31,pkaneathotcopper,138.0,,31/05/2010,1:05:00 PM,"Hey yeah looks like it. Im hoping to hold on for a bit longer. What was the reason behind having a sell order at $32? Just taking profits off the table?

But i guess really my statement that the SP going lower is valid in that the price reaching below $31 was ludacrious in itself. What are your thoughts on this if you dont mind me asking? :)

P",LT
9507,,,,,,2010-05-31,pkaneathotcopper,138.0,,31/05/2010,1:08:00 PM,"Whoops never actually posted that statement i was referring too! ahha

I actually was going to post last week that the share price could go lower than $31, since the reason behind it appears to be based on the overall market(s).

:)

P",LT
9508,,,,,,2010-05-31,hih still in therapy,147.0,,31/05/2010,5:01:00 PM,"Hi Smartdude,
Should have bought Healthscope instead of CSL (like I told you to in Jan). LOL
hih",None
9509,,,,,,2010-05-31,smartdude,2379.0,370.0,31/05/2010,8:08:00 PM,"PK,

I actually pulled the trigger today in the high $31's. I like to trade CSL because:

1) it does not seem to drop by large amounts (<2%)like some other stocks.

2) quite often it trades against the mkt so there is often the opportunity to sell a green stock (CSL) and move into a red stock and vice-versa.

I am over trading speculative stocks as it is bad for my blood pressure and can no longer see the point of it with good blue chip opportunities available.

I have still got a good amount of CGT losses that I am aspiring to recoup so that small gains (0.5%) on a regular basis are good enough for me and CSL fits into that pattern well.",Buy
9510,,,,,,2010-05-31,smartdude,2379.0,370.0,31/05/2010,8:10:00 PM,Can you tell tell me what stock is going up by 40% tomorrow or alternatively provided me with Saturday's Lotto numbers so that I can outlay $1 instead of $1m :)?,Buy
9511,,,,,,2010-05-31,billgeld,1670.0,,31/05/2010,11:07:00 AM,"re: Ann: Patrys Reaches First Milestone in CS... This is also from http://www.biotechnologynews.net/ email i receive. So they get a mention tom too.


Outside of the top 20, small company Actinogen gained 1.2c or 42.9% to 4c while bigger player Patrys ended a tidy 36.4% or 3.2c up to 12c.

Patrys gained after announcing it had initiated a Phase One trial and met its first milestone in an agreement with CSL (see tomorrows Revenue Matters).",None
9512,,,,,,2010-05-31,smartdude,2379.0,370.0,28/05/2010,5:12:00 PM,A very well run company with great defensive qualities. I think that my $32.00 sell order may very well be filled before your $29.00 buy order is. This stock has been trading in the $31.50- $32.50 range for a good while so when I could buy @ $30.50 thought that it was my very good fortune for this week.,Buy
9513,CSL,Ann: Patrys Reaches First Milestone in CSL Collab,3.0,253,ASX News,2010-05-28,ASX News,,851.0,28/05/2010,10:01:00 AM,"Summary: Patrys Reaches First Milestone in CSL Collaboration
Price Sensitive: Yes
Download Document  192.44KB",None
9514,,,,,,2010-05-28,billgeld,1670.0,,28/05/2010,10:29:00 AM,"re: Ann: Patrys Reaches First Milestone in CS... Another great ann by PAB this week telling us Sweet FA.

We reached a milestone which we cant tell you what it is.
We got money for this milestone but we cant tell you how much.

So why ann this crap seriously.

Then we get a ann on monday which wasnt any better.

The CEO gave us more info in this article then the ann.

http://www.biotechnologynews.net/StoryView.asp?StoryID=1136026",Hold
9515,CSL,whats it worth,12.0,744,kennethgalbraith,2010-05-27,kennethgalbraith,13607.0,5.0,27/05/2010,3:53:00 PM,"morningstar = $36.40
roger montgomery = $33.55

my value is $35
based on the following assumption
bookvalue = $9.12
discount rate = 8% (3% above the bond rate)
epv =$23.31
growth assumption = 4% (based on a large moat)",None
9516,,,,,,2010-05-27,kennethgalbraith,13607.0,5.0,27/05/2010,3:56:00 PM,"margin of safety = 20%

will probably be a buy at $29",None
9517,,,,,,2010-05-27,LuckyV,2913.0,,27/05/2010,4:00:00 PM,not far from it. will top up at 29.,None
9518,,,,,,2010-05-27,pkaneathotcopper,138.0,,27/05/2010,5:34:00 PM,"Hey!!! :)

Have been so busy lately havent had the time to check and CSL is pretty bad!!! O well, we are lucky we have longer term horizons than others. And id still prefer the money parked here than mining!! :)

P",LT
9519,,,,,,2010-05-27,LuckyV,2913.0,,27/05/2010,7:34:00 AM,"sircorp, i have csl many times since it dived from 37. i thought i had the pattern down packed and then it stuffed me.

oh well see what today brings. i would not be buying anymore. just hope the 30 holds",None
9520,,,,,,2010-05-27,LuckyV,2913.0,,27/05/2010,3:33:00 PM,really falling off a cliff.. must be bad news out there?,None
9521,CSL,why the lack of interest,4.0,387,LuckyV,2010-05-26,LuckyV,2913.0,,26/05/2010,6:31:00 PM,"i know it has broken support looking at Robbbbbbs chart and its headed to low 30's and if that breaks 26. But is there any reason for selloff??

apart from AUD or is it just correcting

I bought yesterday at 31.60 and wanted to sell my options first up but as usual market makers took there time and it just dropped before i could get money back and then it continued to drop with unusual as it usually has 1 bounce back up..",None
9522,,,,,,2010-05-26,sircorp,11658.0,389.0,26/05/2010,10:53:00 PM,"Well Lucky

Long back I got out of CSL at 33.92. Luckily that was best part.

=================================================
DYOR: Consult an paid advisor",Hold
9523,,,,,,2010-05-26,LuckyV,2913.0,,26/05/2010,11:53:00 AM,broken down now??,None
9524,CSL,looking sick,7.0,596,LuckyV,2010-05-25,LuckyV,2913.0,,25/05/2010,3:03:00 PM,"broken its low for the day. if I recall another chart from robbbbbb, this could go a lot lower.

I thought it would have been a defensive play but I assume our dollar is hurting csl??",None
9525,,,,,,2010-05-25,street talk,11142.0,477.0,25/05/2010,3:18:00 PM,the lower aussie dollar benfits CSL. Just profit takers and happening to whole market,Buy
9526,,,,,,2010-05-25,sine,252.0,,25/05/2010,3:42:00 PM,"The AUD is going down, so as most earnings are in USD, CSL should be better off, also CSL are in the game of treating sick people, and the way things are going, there will be a lot more sick people!!",Hold
9527,,,,,,2010-05-25,The Pro,1560.0,,25/05/2010,4:04:00 PM,Without doubt the drop in the Aussie Dollar will have a materially positive impact on CSL. Unfortunately the good gets thrown out with the bad when people are taking risk off the table.,Buy
9528,,,,,,2010-05-25,The Pro,1560.0,,25/05/2010,4:04:00 PM,Without doubt the drop in the Aussie Dollar will have a materially positive impact on CSL. Unfortunately the good gets thrown out with the bad when people are taking risk off the table.,Buy
9529,,,,,,2010-05-25,rheags,265.0,,25/05/2010,6:01:00 PM,"CSL state in their reports impact of currency movements, the main ones are:

currency baseline 1% change to profit
AUD/USD 0.90 +/- $1.2m
AUD/EUR 0.60 +/- $2.0m
AUD/CHF 0.92 +/- $1.6m

So USD is now 0.81 (down 10% from baseline), EUR 0.66 (up 10%) and CHF 0.94 (up 2%)

So net profit change since 1/2 year report is 1.2 * 10 - 2 * 10 - 1.6 * 2 = -11.2m

So current currency prices have a negative impact on CSL profit for the year even with the big drop in the US dollar.

Also, as can be seen by the impact of a 1% change in a currency pair, the US change has some impact (1.2m) but the change in the Euro (2m) and Swiss Franc (1.6m) both have a much higher impact.

So as it stands the current currency values is still negative for CSL and if the Euro is in as bad shape as it appears the impact could become even worse.

Combine the above with the negative report from Baxter and it is no surprise sentiment is staying negative for CSL.

Don't get me wrong I am a long term holder of CSL and am still bullish in the long term on the company but the current drop of the aussie against the US dollar alone is not enough to provide a boost to the price, we need stability in the Euro plus some positive news to break this negative funk.",Hold
9530,,,,,,2010-05-25,The Pro,1560.0,,25/05/2010,9:55:00 AM,"Baxter were up 2.83% overnight, also we should see the defensive stocks do well on a down day here.",Buy
9531,CSL,chart plesae,2.0,219,LuckyV,2010-05-24,LuckyV,2913.0,,24/05/2010,12:02:00 PM,I would have thought it would be higher today?,None
9532,,,,,,2010-05-24,pkaneathotcopper,138.0,,21/05/2010,9:39:00 AM,"Hi Lucky

Thanks for the post. :)

I agree, investment managers are adjusting for the increased risk within the market - imo.

But lets be honest here... Where else will people place their money outside of cash and gov bonds? I wouldnt feel safe investing money in any of the banks or mining companies at the moment. For me i would be more willing to sit on my hands?

Its so erratic that, unless you are a champion TA, you will most likely get caught out. And also lets remember all the champion TA people that got caught out in the GFC.

If anything its been sold down / bought up (on relatively low volume) by day traders. Wouldnt see investment managers selling even from a risk perspective because the risk is not linked to banking or mining.

Currency risk is actually favouring CSL at the moment imo.
The lower the aus goes relative to the USD and EUR, the more profitable CSL becomes.

These are just opinions :)

Have a lovely day :)

P",LT
9533,,,,,,2010-05-24,pkaneathotcopper,138.0,,21/05/2010,10:50:00 AM,"lol

Buying some now.

Will probs buy more if it goes lower :)

P",LT
9534,,,,,,2010-05-24,LuckyV,2913.0,,21/05/2010,11:31:00 AM,"good price, bouncing now",None
9535,CSL,thoughts on csl,10.0,1.0K,pkaneathotcopper,2010-05-20,pkaneathotcopper,138.0,,20/05/2010,4:36:00 PM,"Hi all

Just my thoughts on why CSL is a good buy given the current environment... As disclosed previously i sold half my holdings as i had to buy a few things with the profits and also i thought it was an opportune time to take some profits off the table.

I beleive that CSL is fundamentally sound, and by fundamentally sound i mean:

a) Profit expectations remain the same as advised by CSL
representatives
b) USD gaining over AUD where about 37.6% of CSL revenue is
derived from.
c) EUR gaining over AUD where at least 16.4% (GER) of CSL
revenue is derived from.
c) Expectation/confirmation that BAX.US losing market share
was due to increase market share to competitors, much of
it may be assumed to be by CSL.
d) CSL and those businesses that sell the same products are
within an inelastic market for that product. People can
go without a new car, but people cant go without their
health.

then CSL is severely underpriced.

Australia's two major sectors; mining and banking, are plagued by risk, with Mining with the Super tax and Banking with the risk associated with the EUR. One could state that CSL is a stock within the Aus market that has no such risks and is a good defensive stock to place money in. Just look at the % drop in price to some of the major mining/banking stocks relative to CSL...

Also when the GFC occured have a look at the SP of CSL... then have a look at your major mining and banking stocks...
If the next dip is going to occur, which it might just do (never say never) then one has to be more diligent in risk management...

From a T/A perspective i would love your thoughts on this. I have it as undersold. Its below the 195/200 ema line but imo dont see it below that line for too long. Thoughts?

Cheers for taking the time to read it and any responses is mostly appreciated. :)

P",LT
9536,,,,,,2010-05-20,LuckyV,2913.0,,20/05/2010,10:27:00 PM,"csl is defensive as mentioned in SMH today and was up but if dow crashes then all stocks will come tumbling down.

i did sell csl today but will buy on any pullback. it might be the only stock green in a see of red.

Robbbbbb did have a chart under CHARTS",None
9537,,,,,,2010-05-20,tmat5,18.0,,20/05/2010,10:40:00 PM,"Agree, with today's candle stick. It is likely to reverse for a bit. (but not necessary long, since the market sentiment is still bear.)",ST
9538,,,,,,2010-05-20,The Pro,1560.0,,20/05/2010,9:47:00 AM,The drop in our dollar must have a considerable positive impact on CSL's bottom line. I dont see a lot of updside in the near future for our dollar either.,Buy
9539,,,,,,2010-05-20,catwoman09,427.0,,20/05/2010,9:56:00 AM,"Hi SELEMAX

Good to hear you holding CSL or have you sold yesterday.
Looks a good opening. Who knows right def not me.

Cat",Buy
9540,,,,,,2010-05-20,LuckyV,2913.0,,20/05/2010,11:46:00 AM,looking better.,None
9541,,,,,,2010-05-20,sine,252.0,,19/05/2010,10:20:00 AM,"CSL Target Cut To A$39.03/Share From A$40.40 By JP Morgan
TODAY

Still looks like a Great buy at the present price",Buy
9542,,,,,,2010-05-20,LuckyV,2913.0,,19/05/2010,10:25:00 AM,back in at 32.15. will monitor closely. BAX was up in US and there was bullish talk on it.,None
9543,,,,,,2010-05-20,LuckyV,2913.0,,19/05/2010,11:47:00 AM,should have looked at robbbbbbs chart. will exit,None
9544,,,,,,2010-05-20,LuckyV,2913.0,,19/05/2010,3:39:00 PM,im still holding.,None
9545,,,,,,2010-05-20,selmax,8028.0,,18/05/2010,8:33:00 AM,it's cool.,Buy
9546,,,,,,2010-05-20,LuckyV,2913.0,,18/05/2010,10:18:00 AM,not the bounce I was hoping for. now in the red,None
9547,,,,,,2010-05-20,LuckyV,2913.0,,17/05/2010,1:07:00 PM,"not even csl is safe in sell down.

when to buy? will wait till tomorrow. already losing on ANZ which I kept overnight.",None
9548,,,,,,2010-05-20,The Pro,1560.0,,17/05/2010,6:55:00 PM,I am looking to get back into CSL tomorrow. Seems the stock is finding support around $32.40 but struggles to get past $33.50. US Dollar is strengthening and fundamentals still remain solid.,Buy
9549,,,,,,2010-05-20,regularASX,2602.0,,14/05/2010,11:35:00 AM,"Spot on selmax! 33.72 as I am typing this. Defensives in action today...including BXB, FGL, NCM, LGL...

doncasterbmw lol....have a few good stories about that place...maybe will tell them one day :)",None
9550,,,,,,2010-05-20,LuckyV,2913.0,,14/05/2010,2:00:00 PM,back to 33.10. I want to buy back in. may wait till monday,None
9551,,,,,,2010-05-20,LuckyV,2913.0,,14/05/2010,2:08:00 PM,i bought at 33.08.,None
9552,,,,,,2010-05-20,selmax,8028.0,,14/05/2010,2:09:00 PM,"well done LuckyV, you beat me to it, I bought the 2/3 back at 33.10, I like CSL.",Buy
9553,,,,,,2010-05-20,LuckyV,2913.0,,14/05/2010,2:19:00 PM,"I was patient and watching it closely, but I have my sell on the options so if I get done im happy, if not will hold.

seems to be in a trading pattern??? moves around alot.

What was your breakout again?",None
9554,,,,,,2010-05-20,selmax,8028.0,,14/05/2010,2:28:00 PM,"Hi LuckyV,

Sorry I haven't got my charting software with me on this computer, from memory, she has to close above ema 195 to remain reversal(she is not bullish at the moment, far from it.) I think the ema 195 is $33.30 or somewhere there. We need to have a new high either Monday or Tuesday. Fingers crossed, I'd like to see her closing at $33.72",ST
9555,,,,,,2010-05-20,LuckyV,2913.0,,14/05/2010,3:46:00 PM,"i was out and my broker rang me and I sold my csl. so happy with quick profit on call options.

Whats with the BHP spike and selloff??",None
9556,CSL,csl broke ema 195 today!,23.0,1.6K,selmax,2010-05-13,selmax,8028.0,,13/05/2010,10:35:00 AM,"Looking good, what was the recent high? Was it $34.40?",ST
9557,,,,,,2010-05-13,street talk,11142.0,477.0,13/05/2010,10:37:00 AM,$37.56 was what it hit a few weeks back,Buy
9558,,,,,,2010-05-13,selmax,8028.0,,13/05/2010,10:40:00 AM,"i am guessing, high for today would be 33.90, and close at 33.72 today.",ST
9559,,,,,,2010-05-13,LuckyV,2913.0,,13/05/2010,10:41:00 AM,"selmax, love your work. Im in csl at 33.40 after waiting patiently for days. I think last high was over 34 ish.

cSL has been in tight range last couple of days so hoping breakout is today.

Has a tendancy to be sold down in afternoon",None
9560,,,,,,2010-05-13,LuckyV,2913.0,,13/05/2010,12:43:00 PM,here comes selloff.,None
9561,CSL,selmax are you still holding,2.0,185,LuckyV,2010-05-13,LuckyV,2913.0,,13/05/2010,2:14:00 PM,I got into soon. seems to sell off in afternoon. still stuck in trading range?,None
9562,,,,,,2010-05-13,selmax,8028.0,,13/05/2010,2:35:00 PM,"Hi, Luckyv

I dumped 2/3 of my CSL today, at 33.45, and 33.55, a very profitable trade.

I still have some, she has to close above EMA 195.",ST
9563,,,,,,2010-05-13,pkaneathotcopper,138.0,,13/05/2010,9:56:00 AM,"I think your right mate :)

Well done

P",LT
9564,,,,,,2010-05-13,pkaneathotcopper,138.0,,12/05/2010,2:51:00 PM,"I sold half today at a profit.

Need to buy a new computer :)

P",LT
9565,,,,,,2010-05-13,selmax,8028.0,,12/05/2010,9:15:00 PM,"getting close now, $33.40 ema 195 needs to break. we have had three days of higher low",ST
9566,,,,,,2010-05-13,selmax,8028.0,,11/05/2010,7:16:00 PM,"I am in today, but this bloody ema 195 has been a big resistance since mid April.",ST
9575,CSL,thoughts on when the price closes above $34,1.0,167,pkaneathotcopper,2010-06-05,pkaneathotcopper,138.0,,6/05/2010,2:25:00 PM,"hi all

Obviously we are impressed at how the price has remained green whilst banking and resource stocks have gone down the gutter.

Would anyone be kind enough to provide an insight as to what can occur when the price ends above $34. Short/Long term guidance would be helpful and charts would be even better :)

To all the holders i hope you have smiles on your faces. To those that are thinking about it, i hope you do your research :)

Good luck to all

P",LT
9576,CSL,after reading this...,6.0,711,pkaneathotcopper,2010-05-05,pkaneathotcopper,138.0,,5/05/2010,12:32:00 AM,"I have even more confidence in CSL...

Baxter is going through a rough time at the moment... Also remember, it was Baxter that brought CSL down to these moronic levels!!!

here is an article i found. Let me know what you think... It basically explains the fall in SP in Baxter and how IT SHOULD HAVE NO BEARING ON CSL :)Cause we dont want to see CSL SP fall because of BAX.US Again! :)

http://www.baxter.com/press_room/press_releases/2010/05_03_10_colleague.html

Baxter to Recall COLLEAGUE Infusion Pumps in U.S.
DEERFIELD, Ill, May 3, 2010 - Baxter Healthcare Corporation today announced that it will recall COLLEAGUE infusion pumps from the U.S. market pursuant to an order under its existing June 2006 consent decree with the U.S. Food and Drug Administration (FDA). Baxter will work with the FDA to ensure that the recall process provides customers appropriate alternatives for supporting patients' needs.

As previously disclosed, Baxter entered into a consent decree with FDA under which the company has been pursuing remediation of the infusion pumps. The decree permits FDA to require the recall of the pumps, and FDA has communicated to the company that it will require such a recall, with the company providing monetary consideration or replacement pumps to customers on a timeline to be determined with FDA and based on medical need. Baxter intends to work with FDA to minimize disruption to healthcare facilities using COLLEAGUE pumps. Baxter anticipates that, among alternatives to be provided to customers, the company will offer to exchange Baxter's Sigma SPECTRUM infusion pumps for COLLEAGUE infusion pumps without charge to customers.

The consent decree permits Baxter to propose alternative actions to achieve the FDA's objectives under the decree, which the company intends to do. The final nature of the recall and offer to customers remain subject to that ongoing dialogue. Once final, Baxter will notify customers and make information available on www.baxter.com.

Notwithstanding that uncertainty, the company currently anticipates that it will record a pre-tax special charge of $400 to $600 million in the first quarter for the reasonably estimable cost of the recall. The company is not otherwise revising its earnings guidance for the year in connection with the recall.

About Baxter
Baxter Healthcare Corporation is the principal domestic operating subsidiary of Baxter International Inc. (NYSE: BAX). Baxter International Inc., through its subsidiaries, develops, manufactures and markets products that save and sustain the lives of people with hemophilia, immune disorders, infectious diseases, kidney disease, trauma, and other chronic and acute medical conditions. As a global, diversified healthcare company, Baxter applies a unique combination of expertise in medical devices, pharmaceuticals and biotechnology to create products that advance patient care worldwide.
This release includes forward-looking statements concerning the Company's recall of its COLLEAGUE infusion pumps from the U.S. market, including expectations with respect to the implementation of the recall and the amount of the related charge. The statements are based on assumptions about many important factors, including the following, which could cause actual results to differ materially from those in the forward-looking statements: resolution of the final nature of the recall; future actions of the FDA with respect to the Company's implementation of the recall pursuant to the Consent decree, including any sanctions available under the Consent Decree; future actions of the FDA or any other regulatory body or government authority that could delay, limit or suspend product development, manufacturing or sale or result in seizures, injunctions, monetary sanctions or criminal or civil liabilities; product quality or patient safety issues; the financial impact of the recall; and other risks identified in the company's most recent filing on Form 10-K and other SEC filings, all of which are available on the company's website. The company does not undertake to update its forward-looking statements.",LT
9577,,,,,,2010-05-05,LuckyV,2913.0,,5/05/2010,6:11:00 AM,everything will be sold today,None
9578,,,,,,2010-05-05,pkaneathotcopper,138.0,,5/05/2010,8:56:00 AM,hopefully not. Daddy needs some new shoes! haha :),LT
9579,,,,,,2010-05-05,The Pro,1560.0,,5/05/2010,9:54:00 AM,"Aussie Dollar down over 2 cents overnight, which is a maor positive. Holding CSL wont cause me to lose any sleep at night.",Buy
9580,,,,,,2010-05-05,pkaneathotcopper,138.0,,5/05/2010,10:29:00 AM,"Agreed. It will be green within a sea of red today imo

Insto's know they want it",LT
9581,,,,,,2010-05-05,AZZUMAH,1522.0,,5/05/2010,3:56:00 PM,If any coy should have been sp decimated its csl. The negs over the last year and leading into the winter have been horrendous. But csl stick by forecasts...up to $1Bill profit. The huge $AUD alone should have impacted more and yet we hit $37 again. As long as CRUDD doesnt impose a super tax on health ( anything is possible) then we will again rise to the heights. Cheers,None
9582,CSL,back to 33 and now looking strong,1.0,166,LuckyV,2010-05-05,LuckyV,2913.0,,5/05/2010,3:00:00 PM,Robbbbb did not get below 33.,None
9583,,,,,,2010-05-05,regularASX,2602.0,,4/05/2010,10:43:00 AM,"Citi 04/05/2010 1 Buy, Medium Risk $40.05 21.7%

Healthcare analysts at Citi are doing a commendable job in keeping investors in Australia informed about what's happening in the US regarding demand for IVIG. Very important for CSL in Australia as CSL repatriates about 39% of its annual profits from the US.

Former take-over target Talecris has now confirmed that US demand in Q1 has been sluggish due to macro-influences. The US IVIG market is expected to return to its long term 6-8% annual growth at some point in the months ahead.

Regardless, Talecris has also indicated it will not exercise its ""top up"" option for increased supply from CSL in 2011. This, estimate Citi analysts, will deprive CSL from an estimated $20-30m in operational profits before tax (EBIT) next year. No changes made.",None
9584,CSL,time to buy defensive!!,14.0,1.0K,pkaneathotcopper,2010-04-05,pkaneathotcopper,138.0,,4/05/2010,1:30:00 PM,"Goes to prove that once things go to rubbish defensive stocks like CSL move up. A good imo is the GFC... CSL didnt crash by as much as the others... Am happy that i bought into CSL during this time. Who knows what implications the tax will have to the Australian stock market... how many people have been burnt overnight?!

CSL all the way in terms of Blue chips!! :)

P",LT
9585,,,,,,2010-04-05,kennethgalbraith,13607.0,5.0,4/05/2010,2:55:00 PM,"don't know

the risk free rate ie the 10 year bond rate is 5.78%

csl's yield is 5.6% probably gone up with the rate hike

so yield >/= 10 year bond rate

where would you prefer to put you money?
a stock or a bond?

I think given a choice I would put it in the safer of the two",None
9586,,,,,,2010-04-05,pkaneathotcopper,138.0,,4/05/2010,3:49:00 PM,"hey thanks for the response

imo, however, broker recommendations on average have the price within $40 within a 12 month period...

The current price is $33.40, thats close to a 20% capital gain...

Not to sure if your comment had the potential capital gain added to it? I am sure that some investors would not take that into account. I do so thats where my confusion may lie. If so i do apologise. Also, not to sure about CSL's divend payout history as i trade at max within 3-6 months...

And honestly ask yourself, do you believe that CSL's price is properly valued at these prices?

Cheers
P",LT
9587,,,,,,2010-04-05,pkaneathotcopper,138.0,,4/05/2010,3:52:00 PM,"hey also sorry for the quick responses... am baby sitting :)

p",LT
9588,,,,,,2010-04-05,schueym99,1561.0,42.0,4/05/2010,3:54:00 PM,"careful, at those returns, a super profits tax could also apply!",None
9589,,,,,,2010-04-05,pkaneathotcopper,138.0,,4/05/2010,4:09:00 PM,":)

Lets hope not!! As for the new tax on mining companies, what does that herald in the short - medium term within the Aus stockmarket? I got stung by stopped on bhp and dont know when to get back in.

P",LT
9590,,,,,,2010-04-05,regularASX,2602.0,,3/05/2010,1:08:00 PM,"Citi 03/05/2010 1 Buy, Medium Risk $40.05 21.9%

Citi analysts have been among the more vocal supporters of CSL shares, but in the meantime their forecasts and price target continues to slide downwards. No major changes have kicked in, however. Today's update includes lowered expectations for Gardasil and thus earnings expectations have gone down, by a little.

The target price drops some more, but remains above $40. The analysts point out that headline profit growth in FY11 is likely to look benign because the one-off effect from H1N1 vaccine sales in FY10 won't be repeated. Underlying, state the analysts, profit growth should still be around 12%.

The analysts may be staunch supporters of CSL, they also concede that a re-rating doesn't seem on the cards for the immediate future. But in twelve months time, when the world will look differently, their price target should be closer to the actual share price, the analysts predict.

Target price is $40.05 Current Price is $32.39 Difference: $7.66
If CSL meets the Citi target it will return approximately 24% (excluding dividends, fees and charges).",None
9591,,,,,,2010-04-05,LuckyV,2913.0,,3/05/2010,1:40:00 PM,"back down again. dammn. keep missing the ranges.

Should have sold on the high and get back in. Frustrating as I am now losing on CSL with may calls",None
9606,CSL,talecris trading 6 per cent higher in the us,9.0,701,pkaneathotcopper,2010-04-29,pkaneathotcopper,138.0,,29/04/2010,10:55:00 AM,"This is really interesting

:)

P


http://www.theaustralian.com.au/business/opinion/csl-boosted-by-offshore-rivals/story-e6frg9io-1225859820315

CSL's stock price is set to rebound today on the back of good results from offshore rivals that negate fears of a marked downturn in global plasma sales.

One time target Talecris posted an increase in first-half profits to $US45.3 million ($49m) from $33.4m and its stock price is trading 6 per cent higher in the US after-hours market, despite missing Wall Street revenue estimates.

European-based Grifols also reported a 5.3 per cent increase in plasma sales.

Neither result was a knockout due to the slow US and European economies, and Talecris also suffered a big contract loss but this much was expected.

Market concerns were raised when IVIG market leader Baxter cut estimates of the plasma product sharply due to the weak economy but the last two results show the Baxter weakness was due more to its own decisions than the market.

Baxter was trying a new route to market which has at least temporarily backfired.

CSL's share price fell from $37.15 a week ago to as low as $32.15 earlier in the week due to the Baxter news and fall out from some report problems with its flu drug.

The stock gained nearly 2 per cent yesterday to close at $33.08 and the rebound should continue today based on the latest results news.",LT
9607,,,,,,2010-04-29,LuckyV,2913.0,,29/04/2010,10:58:00 AM,under 33???,None
9608,,,,,,2010-04-29,regularASX,2602.0,,29/04/2010,11:03:00 AM,Read the article but decided to sell at open - for no profit or loss... It is under $33 now and I may jump in now.,None
9609,,,,,,2010-04-29,pkaneathotcopper,138.0,,29/04/2010,11:09:00 AM,"Sounds like a plan.

Im holding still. Ill wait till all the noise subsides.

I will be interested to see what the price will be at close of today...

Value driven investors might start shaking out the volatility in SP.

Opinions only :)

P",LT
9610,,,,,,2010-04-29,bagus,402.0,6.0,29/04/2010,11:19:00 AM,"The volatility is attracting daytraders.
CSL has become their latest plaything.
They will soon tire of it and move on.",None
9611,,,,,,2010-04-29,nathanblogs,300.0,,29/04/2010,12:10:00 PM,"well I went long at 33.20ish, but I didn't load up incase it continued to drop, therefore I will happily average down as it continues to drop :D.",Buy
9612,,,,,,2010-04-29,LuckyV,2913.0,,29/04/2010,3:32:00 PM,they are keeping it under 33.,None
9613,,,,,,2010-04-29,pkaneathotcopper,138.0,,29/04/2010,3:40:00 PM,"Insto's shaking out the nickle and dimers imo

fyi: im a nickle and dimer lol ;)

P",LT
9614,,,,,,2010-04-29,LuckyV,2913.0,,29/04/2010,5:28:00 PM,disapointing that I did not sell on open. left it up to my broker and was too slow to get option prices. the one time I am not watching screen.,None
9615,CSL,spearmint rhinos?,3.0,329,pkaneathotcopper,2010-04-29,pkaneathotcopper,138.0,,29/04/2010,9:42:00 AM,"Hi all

As discussed im planning a night out for those CSL holders once it gets back to $37. Im hoping it hits at least 34 today. So forward me your email and we should tee something up :)

Lets face it. This is going up. At the time of writing the indicative price is $33.68, a 1.814% gap up.

Happy days. :)

This is of course just my opinion. A good one at that.

P",LT
9616,,,,,,2010-04-29,LuckyV,2913.0,,29/04/2010,10:52:00 AM,started strong but now drifting. any views?,None
9617,,,,,,2010-04-29,pkaneathotcopper,138.0,,29/04/2010,10:58:00 AM,"Hey

Yeah looks interesting dont it...

Well, people are most likely taking a profit.

Maybe it will consolidate for a few days?

Either way it can still do something amazing and hit $34 :)

O, yes i posted an article just before. Very interesting.

P",LT
9618,,,,,,2010-04-29,regularASX,2602.0,,29/04/2010,7:32:00 AM,"Remember what I said yesterday re; interest rates in the USA? I am speculating that the markets in the USA will not only be relieved by what the FED said but also will be encouraged to continue pouring more funds to propel the market further. The financials have recovered in a day! The Greece problem is still getting mentioned but not as much as yesterday. The Greeks still do have debt, or they don't? Not sure anymore. :)

Greece and Portugal will be seen as collateral damage and everyone will move on. What's 60 billion in comparison with 14 trillion?

Let's look forward to some kick arse performances by our fav. stocks (including CSL) :)",None
9619,,,,,,2010-04-29,pkaneathotcopper,138.0,,29/04/2010,7:41:00 AM,"Agreed mate.

Also Baxter in the US went up .853%. I wouldnt be surprised if this has an impact on CSL today.

Cheers
P",LT
